,name,address,g_rating,lat,long
201,Sottocasa Pizzeria,"227 Malcolm X Blvd, New York, NY 10027, USA",4.7,40.8055464,-73.8884726
202,Speedy Romeo,"376 Classon Ave, Brooklyn, NY 11238, USA",4.4,40.6875171,-73.8884726
203,SRO Gallery,"1144 Dean St, Brooklyn, NY 11216, USA",5.0,40.6767169,-73.8884726
204,Steinway Pizza,"31-51 Steinway St, Astoria, NY 11103, USA",3.7,40.7599191,-73.8884726
205,Stella's 24 Hour Eatery,"315 Grove St, Jersey City, NJ 07302, USA",4.1,40.7193207,-73.8884726
206,StreetSweeper Cafe & Lounge,"594 Rogers Ave, Brooklyn, NY 11225, USA",4.6,40.657198,-73.8884726
207,Table 87 Gowanus,"473 3rd Ave, Brooklyn, NY 11215, USA",4.6,40.67067089999999,-73.8884726
208,Tavola,"488 9th Ave, New York, NY 10018, USA",4.4,40.7554026,-73.8884726
209,Pizza Barn,"70 McLean Ave, Yonkers, NY 10705, USA",4.5,40.91879,-73.8884726
210,The Woodstock,"446 W 14th St, New York, NY 10014, USA",4.1,40.74168280000001,-73.8884726
211,Tomato N Basil,"226 4th Ave, Brooklyn, NY 11215, USA",3.6,40.6773576,-73.8884726
212,Tommy's Pizza,"11711 Liberty Ave, Jamaica, NY 11419, USA",4.2,40.6861126,-73.8884726
213,Tom's Delicious Pizza,"3161 Broadway, New York, NY 10027, USA",3.9,40.81489800000001,-73.8884726
214,Tony's,"850 Nostrand Ave, Brooklyn, NY 11225, USA",4.2,40.668857,-73.8884726
215,Tony's Brick Oven,"1140 Bay St, Staten Island, NY 10305, USA",4.4,40.61518319999999,-73.8884726
216,Tony's Pizza Spot,"431 Dekalb Ave # A, Brooklyn, NY 11205, USA",4.6,40.6904687,-73.8884726
217,Tony's,"443 Knickerbocker Ave, Brooklyn, NY 11237, USA",4.6,40.69921780000001,-73.8884726
218,Totonno's Pizzeria Napolitana,"1524 Neptune Ave, Brooklyn, NY 11224, USA",4.2,40.57891729999999,-73.8884726
219,Totonno's Pizzeria Napolitana,"1524 Neptune Ave, Brooklyn, NY 11224, USA",4.2,40.57891729999999,-73.8884726
220,Triangolo Pizzeria,"1017 Manhattan Ave, Brooklyn, NY 11222, USA",4.0,40.7336064,-73.8884726
221,TuArepa Pizza Cafe - Closed,"100-22 67th Ave, Forest Hills, NY 11375, USA",4.1,40.7272308,-73.8884726
222,Tuscan Hills,"110-60 Queens Blvd, Forest Hills, NY 11375, USA",4.4,40.7189183,-73.8884726
223,Two Boots Park Slope,"284 5th Avenue (at, 1st St, New York, 11211, United States",4.4,40.67421299999999,-73.8884726
224,Una Pizza Napoletana,"175 Orchard St, New York, NY 10002, USA",4.0,40.72175730000001,-73.8884726
225,Uncle Paul's Pizza NY,"70 Vanderbilt Ave, New York, NY 10017, USA",4.3,40.75483199999999,-73.8884726
226,Underground Pizza,"2615, 3 Hanover Square, New York, NY 10004, United States",4.3,40.70495159999999,-73.8884726
227,Rosella's Pizzeria,"164 William Street #2611 between Ann St &, Beekman St, New York, 10038, United States",4.3,40.7101212,-73.8884726
228,Upside Pizza,"598 8th Ave, New York, NY 10018, USA",4.4,40.7551355,-73.8884726
229,Vesuvio,"7305 3rd Ave, Brooklyn, NY 11209, USA",4.4,40.6325799,-73.8884726
230,Vezzo Thin Crust Pizza,"178 Lexington Ave, New York, NY 10016, USA",4.5,40.744488,-73.8884726
231,Vezzo Thin Crust Pizza,"178 Lexington Ave, New York, NY 10016, USA",4.5,40.744488,-73.8884726
232,Village Pizza,"65 8th Ave, New York, NY 10014, USA",4.2,40.7392699,-73.8884726
233,Vinnie's Pizzeria,"148 Bedford Ave, Brooklyn, NY 11211, USA",4.5,40.71890390000001,-73.8884726
234,Violet,"511 E 5th St, New York, NY 10009, USA",4.5,40.7247145,-73.8884726
235,Wheated,"905 Church Ave, Brooklyn, NY 11218, USA",4.6,40.64668260000001,-73.8884726
236,Whit's End,"97-02 Rockaway Beach Blvd, Far Rockaway, NY 11693, USA",4.4,40.584949,-73.8884726
237,Williamsburg Pizza,"265 Union Ave, Brooklyn, NY 11211, USA",4.2,40.7081041,-73.8884726
238,Williamsburg Pizza,"265 Union Ave, Brooklyn, NY 11211, USA",4.2,40.7081041,-73.8884726
239,Xochil,"4613 5th Ave, Brooklyn, NY 11220, USA",4.0,40.6469508,-73.8884726
240,Zero Otto Nove,"2357 Arthur Ave, The Bronx, NY 10458, USA",4.4,40.85477259999999,-73.8884726
